date,time,day,team,opponent,gf,ga,xg,xga,venue,result,season
2025-01-25,15:00:00,Saturday,Arsenal,Wolverhampton Wanderers,1,0,0.887358,0.514724,away,W,2024
2025-01-25,17:30:00,Saturday,Manchester City,Chelsea,3,1,2.23213,1.49843,home,W,2024
2025-01-25,17:30:00,Saturday,Chelsea,Manchester City,1,3,1.49843,2.23213,away,L,2024
2025-01-26,14:00:00,Sunday,Crystal Palace,Brentford,1,2,1.23177,1.92037,home,L,2024
2025-01-26,14:00:00,Sunday,Brentford,Crystal Palace,2,1,1.92037,1.23177,away,W,2024
2025-01-26,14:00:00,Sunday,Tottenham,Leicester,1,2,1.27483,1.40469,home,L,2024
2025-01-26,14:00:00,Sunday,Leicester,Tottenham,2,1,1.40469,1.27483,away,W,2024
2025-01-26,16:30:00,Sunday,Aston Villa,West Ham,1,1,0.907851,1.67886,home,D,2024
2025-01-26,16:30:00,Sunday,West Ham,Aston Villa,1,1,1.67886,0.907851,away,D,2024
2025-01-26,19:00:00,Sunday,Fulham,Manchester United,0,1,0.560571,0.201988,home,L,2024
2025-01-26,19:00:00,Sunday,Manchester United,Fulham,1,0,0.201988,0.560571,away,W,2024
2025-02-01,12:30:00,Saturday,Nottingham Forest,Brighton,7,0,4.0677,0.756296,home,W,2024
2025-02-01,12:30:00,Saturday,Brighton,Nottingham Forest,0,7,0.756296,4.0677,away,L,2024
2025-02-01,15:00:00,Saturday,Bournemouth,Liverpool,0,2,1.65273,2.7219,home,L,2024
2025-02-01,15:00:00,Saturday,Liverpool,Bournemouth,2,0,2.7219,1.65273,away,W,2024
2025-02-01,15:00:00,Saturday,Everton,Leicester,4,0,3.11261,0.447136,home,W,2024
2025-02-01,15:00:00,Saturday,Leicester,Everton,0,4,0.447136,3.11261,away,L,2024
2025-02-01,15:00:00,Saturday,Ipswich,Southampton,1,2,1.94845,1.17566,home,L,2024
2025-02-01,15:00:00,Saturday,Southampton,Ipswich,2,1,1.17566,1.94845,away,W,2024
2025-02-01,15:00:00,Saturday,Newcastle United,Fulham,1,2,1.22716,1.60881,home,L,2024
2025-02-01,15:00:00,Saturday,Fulham,Newcastle United,2,1,1.60881,1.22716,away,W,2024
2025-02-01,17:30:00,Saturday,Wolverhampton Wanderers,Aston Villa,2,0,2.00146,0.742809,home,W,2024
2025-02-01,17:30:00,Saturday,Aston Villa,Wolverhampton Wanderers,0,2,0.742809,2.00146,away,L,2024
2025-02-02,14:00:00,Sunday,Brentford,Tottenham,0,2,1.66475,0.945355,home,L,2024
2025-02-02,14:00:00,Sunday,Tottenham,Brentford,2,0,0.945355,1.66475,away,W,2024
2025-02-02,14:00:00,Sunday,Manchester United,Crystal Palace,0,2,1.50706,2.44633,home,L,2024
2025-02-02,14:00:00,Sunday,Crystal Palace,Manchester United,2,0,2.44633,1.50706,away,W,2024
2025-02-02,16:30:00,Sunday,Arsenal,Manchester City,5,1,1.53202,0.743191,home,W,2024
2025-02-02,16:30:00,Sunday,Manchester City,Arsenal,1,5,0.743191,1.53202,away,L,2024
2025-02-03,20:00:00,Monday,Chelsea,West Ham,2,1,1.39066,1.1868,home,W,2024
2025-02-03,20:00:00,Monday,West Ham,Chelsea,1,2,1.1868,1.39066,away,L,2024
2025-02-12,19:30:00,Wednesday,Everton,Liverpool,2,2,0.910523,0.929103,home,D,2024
2025-02-12,19:30:00,Wednesday,Liverpool,Everton,2,2,0.929103,0.910523,away,D,2024
2025-02-14,20:00:00,Friday,Brighton,Chelsea,3,0,2.06892,0.649788,home,W,2024
2025-02-14,20:00:00,Friday,Chelsea,Brighton,0,3,0.649788,2.06892,away,L,2024
2025-02-15,12:30:00,Saturday,Leicester,Arsenal,0,2,0.233209,1.75,home,L,2024
2025-02-15,12:30:00,Saturday,Arsenal,Leicester,2,0,1.75,0.233209,away,W,2024
2025-02-15,15:00:00,Saturday,Aston Villa,Ipswich,1,1,2.89841,0.332864,home,D,2024
2025-02-15,15:00:00,Saturday,Ipswich,Aston Villa,1,1,0.332864,2.89841,away,D,2024
2025-02-15,15:00:00,Saturday,Fulham,Nottingham Forest,2,1,2.20993,0.331301,home,W,2024
2025-02-15,15:00:00,Saturday,Nottingham Forest,Fulham,1,2,0.331301,2.20993,away,L,2024
2025-02-15,15:00:00,Saturday,Manchester City,Newcastle United,4,0,2.12004,0.157211,home,W,2024
2025-02-15,15:00:00,Saturday,Newcastle United,Manchester City,0,4,0.157211,2.12004,away,L,2024
2025-02-15,15:00:00,Saturday,Southampton,Bournemouth,1,3,0.974418,2.08722,home,L,2024
2025-02-15,15:00:00,Saturday,Bournemouth,Southampton,3,1,2.08722,0.974418,away,W,2024
2025-02-15,15:00:00,Saturday,West Ham,Brentford,0,1,0.673466,1.96499,home,L,2024
2025-02-15,15:00:00,Saturday,Brentford,West Ham,1,0,1.96499,0.673466,away,W,2024
2025-02-15,17:30:00,Saturday,Crystal Palace,Everton,1,2,2.30646,1.01565,home,L,2024
2025-02-15,17:30:00,Saturday,Everton,Crystal Palace,2,1,1.01565,2.30646,away,W,2024
2025-02-16,14:00:00,Sunday,Liverpool,Wolverhampton Wanderers,2,1,1.86758,1.05329,home,W,2024
2025-02-16,14:00:00,Sunday,Wolverhampton Wanderers,Liverpool,1,2,1.05329,1.86758,away,L,2024
2025-02-16,16:30:00,Sunday,Tottenham,Manchester United,1,0,1.97109,1.42652,home,W,2024
2025-02-16,16:30:00,Sunday,Manchester United,Tottenham,0,1,1.42652,1.97109,away,L,2024
2025-02-19,15:00:00,Wednesday,Aston Villa,Liverpool,2,2,1.02269,2.04279,home,D,2024
2025-02-19,15:00:00,Wednesday,Liverpool,Aston Villa,2,2,2.04279,1.02269,away,D,2024
2025-02-21,20:00:00,Friday,Leicester,Brentford,0,4,0.727901,2.03465,home,L,2024
2025-02-21,20:00:00,Friday,Brentford,Leicester,4,0,2.03465,0.727901,away,W,2024
2025-02-22,12:30:00,Saturday,Everton,Manchester United,2,2,2.10444,0.645685,home,D,2024
2025-02-22,12:30:00,Saturday,Manchester United,Everton,2,2,0.645685,2.10444,away,D,2024
2025-02-22,15:00:00,Saturday,Bournemouth,Wolverhampton Wanderers,0,1,0.629691,2.10124,home,L,2024
2025-02-22,15:00:00,Saturday,Wolverhampton Wanderers,Bournemouth,1,0,2.10124,0.629691,away,W,2024
2025-02-22,15:00:00,Saturday,Arsenal,West Ham,0,1,1.37264,1.02684,home,L,2024
2025-02-22,15:00:00,Saturday,West Ham,Arsenal,1,0,1.02684,1.37264,away,W,2024
2025-02-22,15:00:00,Saturday,Fulham,Crystal Palace,0,2,0.23426,1.46203,home,L,2024
2025-02-22,15:00:00,Saturday,Crystal Palace,Fulham,2,0,1.46203,0.23426,away,W,2024
2025-02-22,15:00:00,Saturday,Ipswich,Tottenham,1,4,1.15389,1.58741,home,L,2024
2025-02-22,15:00:00,Saturday,Tottenham,Ipswich,4,1,1.58741,1.15389,away,W,2024
2025-02-22,15:00:00,Saturday,Southampton,Brighton,0,4,0.154147,5.12018,home,L,2024
2025-02-22,15:00:00,Saturday,Brighton,Southampton,4,0,5.12018,0.154147,away,W,2024
2025-02-22,17:30:00,Saturday,Aston Villa,Chelsea,2,1,2.69413,2.17418,home,W,2024
2025-02-22,17:30:00,Saturday,Chelsea,Aston Villa,1,2,2.17418,2.69413,away,L,2024
2025-02-23,14:00:00,Sunday,Newcastle United,Nottingham Forest,4,3,3.45858,2.38603,home,W,2024
2025-02-23,14:00:00,Sunday,Nottingham Forest,Newcastle United,3,4,2.38603,3.45858,away,L,2024
2025-02-23,16:30:00,Sunday,Manchester City,Liverpool,0,2,0.558203,0.800048,home,L,2024
2025-02-23,16:30:00,Sunday,Liverpool,Manchester City,2,0,0.800048,0.558203,away,W,2024
